"Phoenix, Arizona, United States",,"Austin, Texas, United States",,"New York City, New York, United States",
Date,In crimes per year,Date,In crimes per year,Date,In crimes per year
1-Jan-85,89,1-Jan-85,52,1-Jan-85,1384
1-Jan-86,122,1-Jan-86,48,1-Jan-86,1582
1-Jan-87,111,1-Jan-87,39,1-Jan-87,1672
1-Jan-88,106,1-Jan-88,43,1-Jan-88,1896
1-Jan-89,126,1-Jan-89,31,1-Jan-89,1905
1-Jan-90,128,1-Jan-90,46,1-Jan-90,2245
1-Jan-91,128,1-Jan-91,49,1-Jan-91,2154
1-Jan-92,136,1-Jan-92,37,1-Jan-92,1995
1-Jan-93,158,1-Jan-93,37,1-Jan-93,1946
1-Jan-94,231,1-Jan-94,37,1-Jan-94,1561
1-Jan-95,214,1-Jan-95,46,1-Jan-95,1177
1-Jan-96,186,1-Jan-96,40,1-Jan-96,983
1-Jan-97,175,1-Jan-97,40,1-Jan-97,770
1-Jan-98,185,1-Jan-98,32,1-Jan-98,633
1-Jan-99,214,1-Jan-99,21,1-Jan-99,664
1-Jan-00,152,1-Jan-00,32,1-Jan-00,673
1-Jan-01,209,1-Jan-01,26,1-Jan-01,714
1-Jan-02,177,1-Jan-02,25,1-Jan-02,587
1-Jan-03,241,1-Jan-03,27,1-Jan-03,597
1-Jan-04,202,1-Jan-04,26,1-Jan-04,570
1-Jan-05,220,1-Jan-05,26,1-Jan-05,539
1-Jan-06,234,1-Jan-06,20,1-Jan-06,596
1-Jan-07,213,1-Jan-07,30,1-Jan-07,496
1-Jan-08,167,1-Jan-08,23,1-Jan-08,523
1-Jan-09,122,1-Jan-09,22,1-Jan-09,471
1-Jan-10,117,1-Jan-10,38,1-Jan-10,536
1-Jan-11,116,1-Jan-11,28,1-Jan-11,515
1-Jan-12,123,1-Jan-12,31,1-Jan-12,419
1-Jan-13,118,1-Jan-13,26,1-Jan-13,335
1-Jan-14,114,1-Jan-14,32,1-Jan-14,333
1-Jan-15,112,1-Jan-15,23,1-Jan-15,352