Season,PLAYER,POS,MIN,PTS,FG_Made,FG_Attempt,FG_Perc,3PT_Made,3PT_Attempt,3PT_Perc,FT_Made,FT_Attempt,FT_Perc
2016-2017,Stephen Curry ,Guard,33.4,25.3,8.5,18.3,46.8,4.1,10,41.1,4.1,4.6,89.8
2016-2017,Dwight Howard ,Center ,29.7,13.5,5.2,8.3,63.3,0,0,0,3.1,5.7,53.3
2016-2017,Kobe Bryant ,Guard ,28.2,17.6,6,16.9,35.8,2,7.1,28.5,3.5,4.3,82.6
2016-2017,Paul Millsap,Forward,34,18.1,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8
2016-2017,Russel Westbrook,Guard,34.6,31.6,10.2,24,42.5,2.5,7.2,34.3,8.8,10.4,84.5
2016-2017,DeAndrew Jordan,Center ,31.7,12.7,5.1,7.1,71.4,0,0,0,2.5,5.2,48.2
2016-2017,Aaron Gordan,Forward,28.7,12.7,4.9,10.8,45.4,1,3.3,28.8,2,2.7,71.9
2016-2017,Blake Griffin,Forward,34,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76
2016-2017,Marshall Plumlee,Center ,8.1,1.9,0.8,1.4,53.3,0,0,0,0.4,0.9,42.1
2016-2017,Tyson Chandler,Center ,27.6,8.4,3.3,4.9,67.1,0,0,0,1.9,2.6,73.4
2016-2017,Vince Carter,Guard,24.7,8,2.6,6.7,39.4,1.5,4.1,37.8,1.2,1.6,76.5
2016-2017,Corey Brewer,Forward,15.6,4.5,1.8,4.2,42.2,0.3,1.4,22.9,0.6,0.8,73.5