Date,Time
1855,4:28
1857,4:28
1858,4:23
1860,4:22
1863,4:21
1864,4:20
1864,4:20
1865,4:17
1865,4:17
1881,4:16
1886,4:12
1913,4:14.4
1915,4:12.6
1923,4:10.4
1931,4:09.2
1933,4:07.6
1934,4:06.8
1937,4:06.4
1942,4:06.2
1942,4:06.2
1942,4:04.6
1943,4:02.6
1944,4:01.6
1945,4:01.4
1954,3:59.4
1954,3:58.0
1957,3:57.2
1958,3:54.5
1962,3:54.4
1964,3:54.1
1965,3:53.6
1966,3:51.3
1967,3:51.1
1975,3:51.0
1975,3:49.4
1979,3:49.0
1980,3:48.8
1981,3:48.53
1981,3:48.40
1981,3:47.33
1985,3:46.32
1993,3:44.39
1999,3:43.13